Commit key of Architectural Topic I;Months since start project;Commit key of Architectural Topic II;Months since start project;Commit key of Architectural Topic III;Months since start project;Commit key of Architectural Topic IV;Months since start project;Commit key of Architectural Topic V;Months since start project;Commit key of Architectural Topic VI;Months since start project;Commit key of Architectural Topic VII;Months since start project;Commit key of Architectural Topic VIII;Months since start project;Commit key of Architectural Topic IX;Months since start project;Commit key of Architectural Topic X;Months since start project;Commit key of Architectural Topic XI;Months since start project;Commit key of Architectural Topic XII;Months since start project;Commit key of Architectural Topic XIII;Months since start project;Commit key of Architectural Topic XIV;Months since start project;Commit key of Architectural Topic XV;Months since start project
;;;;;;;;;;cd93a6cf72758b3767bd9a02ba10f112a08a26ee;115;;;7e3122a476d51ae88a03ddf71488beca113f043f;152;;;;;16d05ea10020b137d7e695206975dbad8722d726;149;;;Average Time;5,94736842105263;;;;
;;;;;;;;;;9403362e85220b3de34fae688bcaf77ba5dd4d6e;115;;;ed248dfaba0cf712668d9eb8c08de9ccb10b4441;149;;;;;c364f8d28307a5fb849f48d1abc4259df9fc5725;148;;;;;;;;
;;;;;;;;;;b7ae04b1233c55cf62ed8ef915b02ad6d372895e;115;;;483cad8e50af4202d1272e414eb2950885dd8cfd;147;;;;;1966847018b4e29b4e7ad9e88a9bfa22dd6facd1;147;;;;;;;;
;;;;;;;;;;Average Time;3,81818181818182;;;29abd72d4f1553b543317b6cd2de7165137d30b6;145;;;;;534a354adda147bbcbeadf00bac28676c7ad8fd8;146;;;;;;;;
;;;;;;;;;;;;;;56e67f115a51608d846ccae524bf75bb9bbe4651;145;;;;;62a11a7edc5983341572d84df0563856a21e2cee;144;;;;;;;;
;;;;;;;;;;;;;;1cb34e3f058ccce4edbc04aebba8245dc18b189a;145;;;;;ff191979f34e11af3e60392dcc4c582160dedac4;143;;;;;;;;
;;;;;;;;;;;;;;6471d0a28a644d9ca402c1bfd2f46bcc3e9e2963;145;;;;;673a55d40d6b3933d0464c12cb6fa17bb2b20d18;142;;;;;;;;
;;;;;;;;;;;;;;4f617625ff10008ca1eded3d3a3f2fab4fb655ff;143;;;;;db00429ac8d8c79728907025a4abbe123f69259a;139;;;;;;;;
;;;;;;;;;;;;;;3c56cb4a9981fb82433f1ad7fe03d52f46d28506;142;;;;;8365dee91751519996fd0728e1e20e47a2a9270b;137;;;;;;;;
;;;;;;;;;;;;;;41f8e03197230b71f584551a2113aa5b0140568f;142;;;;;b02802a202196ee672f8012b3faf8db86cf12b9f;136;;;;;;;;
;;;;;;;;;;;;;;61d6579a7bf054ba0d13974697e950fd0dfe2e96;141;;;;;740779875f1925d57713ad8f2547d7358a206c55;136;;;;;;;;
;;;;;;;;;;;;;;abc47857b7d7952040d8829d11cb7057d8730027;140;;;;;54b72c8ae432686b89165b9e4e9a565da26e7e59;135;;;;;;;;
;;;;;;;;;;;;;;0cdde44b6b417dd2324652a371a512e9141ef215;139;;;;;1c0b90f01209b9560e79ee84558ce9660f7e861a;134;;;;;;;;
;;;;;;;;;;;;;;e11d00cc940e3126543060286a15d9200c2385c7;138;;;;;d46e71899b4c8bfe2f8a14a015a63231760bd5c6;134;;;;;;;;
;;;;;;;;;;;;;;b48b0a8a8310749839af5b84f0b809b6b1c9f84f;134;;;;;51aabe99d68f78d65dd3622fd16ce78692756821;133;;;;;;;;
;;;;;;;;;;;;;;f51301f34915aeae91b4190ece90435bf2c24e9c;132;;;;;35771bfee03c9fcebcc23fb8da0e0d1b6a77b7d7;133;;;;;;;;
;;;;;;;;;;;;;;c32f8ac75189e91253ff093199e912bf5e997283;130;;;;;4be99fc9d3504d0f10ea8f7c285905eed0e501ee;133;;;;;;;;
;;;;;;;;;;;;;;cffc91387ea8ce0cb0a36a21aef7b21a3bf523a2;129;;;;;e353db3ea17ee7fe55bb8809280c3ae3bdd9185d;132;;;;;;;;
;;;;;;;;;;;;;;434f6142cbf3f545b6cc8d137dcd5ba701376a08;127;;;;;7ef176617af181e9bd612a8b3fe5e3549d06074f;132;;;;;;;;
;;;;;;;;;;;;;;7db756432b0029efb971c77971ae0769ef2908bb;120;;;;;eff769c61b278fb077bb70e68dd0e0d78b8cc4dd;130;;;;;;;;
;;;;;;;;;;;;;;51b92f200d7fd4f564d03dac29afc344dfda7550;120;;;;;08edb4b74655a65d42d226ad558e72e5fb74a90f;130;;;;;;;;
;;;;;;;;;;;;;;a9dfe77be264442bea192b6e6e586ef0bdcc6d42;119;;;;;4159beba3c12e93928b56de482888b1ef54955e7;129;;;;;;;;
;;;;;;;;;;;;;;5f9f1699333f1b2dbe752be6c26f8072fc747410;112;;;;;7fd28da55e8050150e178f12d2fabe93e42fb0d6;129;;;;;;;;
;;;;;;;;;;;;;;Average Time;2,0952380952381;;;;;50d2a201d3fc10be36f59c2ae7d334abe156dd44;128;;;;;;;;
;;;;;;;;;;;;;;;;;;;;4879a22e2fa3d625514147eb18644500d1347064;128;;;;;;;;
;;;;;;;;;;;;;;;;;;;;a36e934e7ce1ee362b3f90a0b64048f3b7297098;128;;;;;;;;
;;;;;;;;;;;;;;;;;;;;d823eb67c57f5dd5473fd5508a055bc81dfc62a1;127;;;;;;;;
;;;;;;;;;;;;;;;;;;;;c4f79156845a37ed94ab632088fa88852db2c6e8;123;;;;;;;;
;;;;;;;;;;;;;;;;;;;;90395480856ae7cf1961c099a4b286defbd95f93;122;;;;;;;;
;;;;;;;;;;;;;;;;;;;;75344f2ba4b92620c744518cc291975e66f58083;121;;;;;;;;
;;;;;;;;;;;;;;;;;;;;ac48b95065c0e504c0fd3f43b03fc8a59c76f3ca;121;;;;;;;;
;;;;;;;;;;;;;;;;;;;;1842df9b426b15e15f7c7e387d0727edc2829c8a;121;;;;;;;;
;;;;;;;;;;;;;;;;;;;;36b0f55e314d0fdf80d4e5883a089f737df78af1;121;;;;;;;;
;;;;;;;;;;;;;;;;;;;;2f9f7d35576db0d71d256f6961cfd3bf2a1306da;120;;;;;;;;
;;;;;;;;;;;;;;;;;;;;ce69e79d2517cec643b531128d233802883fe4bc;120;;;;;;;;
;;;;;;;;;;;;;;;;;;;;7e0d29f451d71ec1274e6a75e22cf38445572f9b;120;;;;;;;;
;;;;;;;;;;;;;;;;;;;;54ae74ada28c3f912f9e14b13a3a69408459ea01;119;;;;;;;;
;;;;;;;;;;;;;;;;;;;;c6d5e67d86d4345777aad3ed63eb3f8200c9f558;119;;;;;;;;
;;;;;;;;;;;;;;;;;;;;48d6daa40e461ebbfd51ed16e650ac723afcd2fe;119;;;;;;;;
;;;;;;;;;;;;;;;;;;;;48e31256521b2658cc926dbc5be2e5e61c93db0f;119;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Average Time;1,33898305084746;;;;;;;;
